Validation_Set,Topics,Alpha,Beta,Coherence
75% Corpus,5,symmetric,0.01,0.5945577319150049
75% Corpus,5,symmetric,0.31,0.530080888693919
75% Corpus,5,symmetric,0.61,0.5544895914507286
75% Corpus,5,symmetric,0.9099999999999999,0.5557689348007975
75% Corpus,5,symmetric,symmetric,0.5532469716436245
75% Corpus,5,asymmetric,0.01,0.4910521352129706
75% Corpus,5,asymmetric,0.31,0.4210442614776123
75% Corpus,5,asymmetric,0.61,0.3902338220302234
75% Corpus,5,asymmetric,0.9099999999999999,0.44374181584602007
75% Corpus,5,asymmetric,symmetric,0.4054953482224586
75% Corpus,6,0.01,0.01,0.5292195684671575
75% Corpus,6,0.01,0.31,0.5671577105294351
75% Corpus,6,0.01,0.61,0.5696315205677288
75% Corpus,6,0.01,0.9099999999999999,0.563059223295359
75% Corpus,6,0.01,symmetric,0.5477764891933409
75% Corpus,6,0.31,0.01,0.5472351460233053
75% Corpus,6,0.31,0.31,0.5770859093292826
75% Corpus,6,0.31,0.61,0.5615728733553217
75% Corpus,6,0.31,0.9099999999999999,0.5388796632719791
75% Corpus,6,0.31,symmetric,0.5542807152257626
75% Corpus,6,0.61,0.01,0.550171312390824
75% Corpus,6,0.61,0.31,0.5132873418852794
75% Corpus,6,0.61,0.61,0.4760728025686464
75% Corpus,6,0.61,0.9099999999999999,0.4308295151118899
75% Corpus,6,0.61,symmetric,0.521439125929879
75% Corpus,6,0.9099999999999999,0.01,0.5377562885819666
75% Corpus,6,0.9099999999999999,0.31,0.5175759420839646
75% Corpus,6,0.9099999999999999,0.61,0.45922092165793266
75% Corpus,6,0.9099999999999999,0.9099999999999999,0.5234216102213103
75% Corpus,6,0.9099999999999999,symmetric,0.5448332094270717
75% Corpus,6,symmetric,0.01,0.5674575785787556
75% Corpus,6,symmetric,0.31,0.5399938528314346
75% Corpus,6,symmetric,0.61,0.5564759356660579
75% Corpus,6,symmetric,0.9099999999999999,0.5280105687864108
75% Corpus,6,symmetric,symmetric,0.5367642070327449
75% Corpus,6,asymmetric,0.01,0.4466132820475282
75% Corpus,6,asymmetric,0.31,0.457423078373981
75% Corpus,6,asymmetric,0.61,0.41783250704440983
75% Corpus,6,asymmetric,0.9099999999999999,0.42551947902165477
75% Corpus,6,asymmetric,symmetric,0.41906339942582144
75% Corpus,7,0.01,0.01,0.5712738885993945
75% Corpus,7,0.01,0.31,0.5435514010520299
75% Corpus,7,0.01,0.61,0.535286968095863
75% Corpus,7,0.01,0.9099999999999999,0.5210246423219731
