Validation_Set,Topics,Alpha,Beta,Coherence
100% Corpus,9,0.31,0.61,0.5170699087140487
100% Corpus,9,0.31,0.9099999999999999,0.5537556881831006
100% Corpus,9,0.31,symmetric,0.5299602587280502
100% Corpus,9,0.61,0.01,0.4994923385717074
100% Corpus,9,0.61,0.31,0.4433301854540421
100% Corpus,9,0.61,0.61,0.37202182107253245
100% Corpus,9,0.61,0.9099999999999999,0.3712227382670632
100% Corpus,9,0.61,symmetric,0.46586898583745767
100% Corpus,9,0.9099999999999999,0.01,0.5389822941894998
100% Corpus,9,0.9099999999999999,0.31,0.4050903047021079
100% Corpus,9,0.9099999999999999,0.61,0.5646625003665982
100% Corpus,9,0.9099999999999999,0.9099999999999999,0.6419370722398364
100% Corpus,9,0.9099999999999999,symmetric,0.4859641711186933
100% Corpus,9,symmetric,0.01,0.5768417285055931
100% Corpus,9,symmetric,0.31,0.5611031926221838
100% Corpus,9,symmetric,0.61,0.5437501636011249
100% Corpus,9,symmetric,0.9099999999999999,0.5332726303606944
100% Corpus,9,symmetric,symmetric,0.5646486926845316
100% Corpus,9,asymmetric,0.01,0.3959133249685953
100% Corpus,9,asymmetric,0.31,0.3631664370053389
100% Corpus,9,asymmetric,0.61,0.3146718671816352
100% Corpus,9,asymmetric,0.9099999999999999,0.42172736004028794
100% Corpus,9,asymmetric,symmetric,0.3853027312924445
100% Corpus,10,0.01,0.01,0.5510141808901066
100% Corpus,10,0.01,0.31,0.5091652736172974
100% Corpus,10,0.01,0.61,0.4920695144771914
100% Corpus,10,0.01,0.9099999999999999,0.49300782256423814
100% Corpus,10,0.01,symmetric,0.5327259720524077
100% Corpus,10,0.31,0.01,0.4883207242922736
100% Corpus,10,0.31,0.31,0.4739792575766787
100% Corpus,10,0.31,0.61,0.47233658283899144
100% Corpus,10,0.31,0.9099999999999999,0.47365252065200797
100% Corpus,10,0.31,symmetric,0.4953772178449879
100% Corpus,10,0.61,0.01,0.501323275179409
100% Corpus,10,0.61,0.31,0.44740788907400936
100% Corpus,10,0.61,0.61,0.3738137407925604
100% Corpus,10,0.61,0.9099999999999999,0.3887540820431303
100% Corpus,10,0.61,symmetric,0.4919226616790054
100% Corpus,10,0.9099999999999999,0.01,0.5458898811354022
100% Corpus,10,0.9099999999999999,0.31,0.4379317854306026
100% Corpus,10,0.9099999999999999,0.61,0.6372776309407759
100% Corpus,10,0.9099999999999999,0.9099999999999999,0.6397993630305817
100% Corpus,10,0.9099999999999999,symmetric,0.506873294877955
100% Corpus,10,symmetric,0.01,0.511999259672729
100% Corpus,10,symmetric,0.31,0.49340208029692895
100% Corpus,10,symmetric,0.61,0.4812188654568225
100% Corpus,10,symmetric,0.9099999999999999,0.48501957995660794
100% Corpus,10,symmetric,symmetric,0.5055212286522104
100% Corpus,10,asymmetric,0.01,0.3918795454227693
100% Corpus,10,asymmetric,0.31,0.350960171329664
100% Corpus,10,asymmetric,0.61,0.33432632104519805
100% Corpus,10,asymmetric,0.9099999999999999,0.35885906402957524
100% Corpus,10,asymmetric,symmetric,0.396284522854505
